dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
movie_review,adaptive-perplexity,0.37673774746773286,roberta,0.8894016908,0.8744053099,0.8949250873,0.8864866625,0.8893023092,0.8892399267,0.8798026779,0.8798826715,0.8789688669,0.8845787173,
movie_review,adaptive-v2-perplexity,0.3863044257410537,roberta,0.8780850091,0.8912838783,0.8845860323,0.8806107826,0.8874280585,0.8902430332,0.8921040287,0.8704414790,0.8798737886,0.8807974776,
movie_review,autoencoder-is,0.2998186711894243,roberta,0.8827155988,0.8714033737,0.8958151182,0.8864794695,0.8661812704,0.8902360784,0.8845177229,0.8789560827,0.8836736131,0.8864474895,
movie_review,biois,0.3727672486429881,roberta,0.8865835928,0.8791002812,0.8827382833,0.8911574685,0.8853755359,0.8930581614,0.8835723824,0.8817994614,0.8844607366,0.8883652739,
movie_review,gmm-is,0.2998186711894243,roberta,0.8807127534,0.8696728046,0.8920926319,0.8883558419,0.8797556479,0.8789688669,0.8825820494,0.8883157382,0.8874233032,0.8807974776,
movie_review,no-is,0.0,roberta,0.8987260340,0.8845271624,0.8958151182,0.8930521380,0.9024386810,0.9061913696,0.8930487496,0.8817973810,0.8911172161,0.8827019485,
movie_review,perplexity-is,0.2998186711894243,roberta,0.8922177727,0.8779459798,0.8873626374,0.8883322550,0.8890993088,0.8958239239,0.8911681975,0.8836707466,0.8911509535,0.8771097209,
mpqa,adaptive-perplexity,0.08580048392954212,roberta,0.8952857900,0.8949608950,0.8929465690,0.8916977060,0.8710271635,0.9009111802,0.9018667205,0.9069724679,0.9018693253,0.8894311446,
mpqa,adaptive-v2-perplexity,0.36699360939508585,roberta,0.8893998896,0.8962936313,0.8775978085,0.8672813566,0.8762592824,0.8959701932,0.8917483660,0.8994039547,0.8942199344,0.8837796240,
mpqa,autoencoder-is,0.2997883798742644,roberta,0.8888506271,0.9000263832,0.8880292182,0.8812450509,0.8786414834,0.8907992390,0.9064906260,0.9014833265,0.9000967070,0.8991294850,
mpqa,biois,0.34671149715139626,roberta,0.8938954849,0.8881368084,0.8824328200,0.8800271381,0.8632790688,0.8906232550,0.8909913616,0.8951758151,0.8841783217,0.8782666394,
mpqa,gmm-is,0.2997883809717596,roberta,0.8961395591,0.8842075134,0.8969602797,0.8778100240,0.8669314381,0.8840296332,0.9049192502,0.9049982539,0.9041370692,0.9031248748,
