dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
movie_review,adaptive-perplexity,0.37673774746773286,roberta,795.20,805.08,796.35,959.84,791.63,796.14,788.15,955.31,961.27,798.29,
movie_review,adaptive-v2-perplexity,0.3863044257410537,roberta,789.33,788.79,925.21,942.06,948.38,779.96,790.54,789.47,787.93,942.43,
movie_review,autoencoder-is,0.2998186711894243,roberta,900.63,1070.24,895.79,894.97,901.02,890.29,897.45,897.93,896.83,1078.07,
movie_review,biois,0.3727672486429881,roberta,958.48,799.87,954.43,795.82,950.43,798.70,796.38,800.76,799.41,959.45,
movie_review,gmm-is,0.2998186711894243,roberta,914.51,909.37,1086.55,908.57,1079.42,1083.62,909.20,908.09,1259.15,905.37,
movie_review,no-is,0.0,roberta,1271.43,1271.97,1264.18,1270.13,1269.81,1263.07,1271.86,1522.63,1272.88,1260.64,
movie_review,perplexity-is,0.2998186711894243,roberta,889.81,895.38,898.97,894.76,887.90,899.14,1065.11,894.23,1074.50,1073.87,
mpqa,adaptive-perplexity,0.08580048392954212,roberta,1391.54,1156.21,1156.30,1385.68,1392.50,1375.93,1387.99,1389.55,1156.67,1151.13,
mpqa,adaptive-v2-perplexity,0.36699360939508585,roberta,1120.66,965.56,958.24,963.86,1121.17,798.10,962.15,958.29,1120.43,971.04,
mpqa,autoencoder-is,0.2997883798742644,roberta,1068.45,882.09,1071.62,1067.63,1061.63,1242.96,1066.83,1424.65,1243.73,888.42,
mpqa,biois,0.34671149715139626,roberta,843.31,1156.97,987.89,995.00,825.07,991.72,994.49,987.71,826.39,992.17,
mpqa,gmm-is,0.2997883809717596,roberta,895.58,1071.51,896.26,1064.19,1075.08,1072.77,1075.91,896.43,1071.26,1065.54,
mpqa,no-is,0.0,roberta,1530.71,1261.11,1260.87,1515.54,1512.36,1516.10,1501.97,1255.13,1513.60,1259.08,
mpqa,perplexity-is,0.29963123611874326,roberta,1257.38,1065.27,1063.68,886.98,1069.40,1594.68,1062.99,889.61,1061.21,1065.13,
ohsumed,adaptive-perplexity,0.29780596433798656,roberta,2458.05,2204.68,2688.45,2386.82,2461.17,2188.15,2512.55,2561.92,1868.62,1573.19,
ohsumed,adaptive-v2-perplexity,0.38340072234335126,roberta,1915.56,1921.70,1920.65,1911.36,2187.28,1752.06,1284.77,1640.28,730.93,667.48,
ohsumed,autoencoder-is,0.29995507432094953,roberta,2189.40,2812.64,2497.30,2186.49,2193.79,2796.96,2178.92,2497.97,2807.66,2186.02,
ohsumed,biois,0.39798322851805207,roberta,2746.83,2208.59,2746.36,2480.50,2475.05,2481.31,2470.67,2204.39,2218.96,2750.55,
ohsumed,gmm-is,0.29995507432094953,roberta,2226.85,2214.76,2528.31,2220.18,2531.69,2218.86,2536.02,2217.02,2533.77,2839.71,
ohsumed,no-is,0.0,roberta,3532.26,3540.28,3538.09,3526.40,2658.68,3542.82,3530.76,3533.87,3094.85,3528.08,
ohsumed,perplexity-is,0.29995507432094953,roberta,2489.52,2178.09,2488.80,2172.51,2483.71,2793.83,2481.16,2487.58,2166.23,2482.92,
pang_movie,adaptive-perplexity,0.16631216337013469,roberta,1078.24,1072.34,1266.49,1291.63,1284.13,1065.44,1041.44,1269.94,1275.91,1281.89,
pang_movie,adaptive-v2-perplexity,0.3852206177735616,roberta,947.90,943.45,784.00,779.26,950.15,787.00,949.63,936.24,791.55,946.29,
pang_movie,autoencoder-is,0.299818671840805,roberta,899.59,1257.59,1072.87,901.67,899.03,1076.40,900.03,905.52,905.99,901.70,
pang_movie,biois,0.3708601396784481,roberta,1129.16,801.98,806.50,962.44,791.57,803.07,798.12,798.74,963.34,965.77,
pang_movie,gmm-is,0.299818671840805,roberta,927.24,1095.39,927.83,927.67,924.80,1102.13,1096.99,1104.79,924.62,930.89,
pang_movie,no-is,0.0,roberta,1519.47,1273.12,1276.01,1261.89,1526.51,1272.36,1268.51,1267.25,1530.14,1271.72,
pang_movie,perplexity-is,0.299818671840805,roberta,1075.72,895.40,893.31,1078.27,890.22,1067.08,1072.92,1078.93,892.04,897.51,
reuters90,adaptive-perplexity,0.299123574866918,roberta,1962.49,2249.25,1926.69,2157.61,1859.02,2474.67,2173.23,2490.91,2106.16,1982.77,
reuters90,adaptive-v2-perplexity,0.3818899860974089,roberta,1987.41,1987.83,1789.30,1971.07,1587.43,1777.93,1984.59,1981.51,1788.51,1983.79,
reuters90,autoencoder-is,0.2999507820719703,roberta,2266.53,1821.12,2039.06,2033.76,2273.82,2037.07,2274.13,2264.62,2052.89,2051.88,
reuters90,biois,0.40416609843338325,roberta,2196.14,2186.49,2006.92,1815.60,2199.82,1815.54,1818.54,1814.51,2209.55,2007.30,
