dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
acm,adaptive-perplexity,0.31663724413749117,roberta,0.6693641284,0.7022249367,0.6409308959,0.6719428819,0.6610024524,0.6849416525,0.7018741621,0.6501708633,0.6696720690,0.6890990640,
acm,autoencoder-is,0.29997366874298576,roberta,0.6783043007,0.6908264050,0.6402637293,0.6588711313,0.6776091091,0.6610701997,0.6808669482,0.6413831671,0.6625610160,0.7100197981,
acm,biois,0.3743155279226755,roberta,0.6874278426,0.6868520540,0.6827995648,0.6599534916,0.6606568083,0.6557706222,0.6896140411,0.6813762368,0.6718371971,0.6898650328,
acm,gmm-is,0.49997099140657636,roberta,0.6639817072,0.6839674848,0.6319597682,0.6724909789,0.6461453625,0.6417409425,0.6870707380,0.6424566579,0.6800246364,0.6647458213,
acm,no-is,0.0,roberta,0.6917161126,0.7310613447,0.6695095014,0.6973720869,0.7102019145,0.6832714307,0.7250044875,0.6944903016,0.7258959870,0.7297161509,
acm,perplexity-is,0.29994689756960075,roberta,0.6924372814,0.7076428847,0.6380298683,0.6735609635,0.6827792001,0.6897708194,0.6843780895,0.6825100542,0.6813936970,0.7171418589,
acm,random-is,0.499997768156015,roberta,0.6839809802,0.6916758909,0.6316413631,0.6593016538,0.6173810833,0.6341834639,0.6846186233,0.6687126175,0.6765517305,0.6972550047,
books,adaptive-perplexity,0.38595552901359803,roberta,0.8422916700,0.8402233050,0.8467683725,0.8481846073,0.8362162719,0.8648897905,0.8365551914,0.8543268669,0.8496722352,0.8492913040,
books,autoencoder-is,0.23998663793230288,roberta,0.8554190010,0.8509491620,0.8639209959,0.8519921621,0.8441817199,0.8716669276,0.8541109696,0.8522845758,0.8697099888,0.8530391899,
books,biois,0.3489280483405229,roberta,0.8487534928,0.8531698254,0.8514742952,0.8482534131,0.8407278844,0.8606086990,0.8425661191,0.8491714368,0.8542759630,0.8509371562,
books,gmm-is,0.2399899453574724,roberta,0.8563206183,0.8490619843,0.8575207726,0.8501700368,0.8559763269,0.8804835373,0.8485998984,0.8606012123,0.8659106625,0.8597561761,
books,no-is,0.0,roberta,0.8713869328,0.8705828803,0.8746534207,0.8681329288,0.8635100390,0.8783750941,0.8625662199,0.8687221925,0.8772247881,0.8794206946,
books,perplexity-is,0.2399899453574724,roberta,0.8526487297,0.8533123060,0.8599743010,0.8514902735,0.8564933584,0.8660432386,0.8500982678,0.8479259057,0.8521698035,0.8602477145,
books,random-is,0.4999900777244915,roberta,0.8401882692,0.8399928868,0.8395299300,0.8400003549,0.8311571910,0.8423605799,0.8215460407,0.8363206376,0.8496474760,0.8480217114,
dblp,adaptive-perplexity,0.288079301770007,roberta,0.8078264604,0.8067981463,0.7957904802,0.7947302865,0.8107635980,0.8028679896,0.8149269469,0.8170757310,0.8090786142,0.8096667274,
dblp,autoencoder-is,0.29998368074202386,roberta,0.8138739971,0.8226316852,0.8109575156,0.7879198676,0.8075187949,0.7974908504,0.8113458978,0.8161337517,0.7946441068,0.8010035505,
dblp,biois,0.35050356793118725,roberta,0.8152301619,0.8064915149,0.8199774107,0.8080537497,0.8050041126,0.8044089841,0.7974284597,0.8186472319,0.8035708816,0.8042252256,
dblp,gmm-is,0.4999825151050032,roberta,0.8019885266,0.8077199224,0.8037660274,0.7853817282,0.8003443350,0.7827475737,0.7982953322,0.8113161373,0.7954675111,0.7875360118,
dblp,no-is,0.0,roberta,0.8234893156,0.8267871852,0.8175541891,0.8072356073,0.8127104701,0.8044922037,0.8173039451,0.8257681517,0.8154201388,0.8195372084,
dblp,perplexity-is,0.29998368074202386,roberta,0.8161231442,0.8071349679,0.8078585117,0.7967569606,0.8084311367,0.7935085913,0.8081435624,0.8191090806,0.8037825553,0.7918302139,
dblp,random-is,0.49998834329010633,roberta,0.8126974203,0.8107659763,0.8017802300,0.7793216447,0.8055215390,0.7882595996,0.7988646427,0.8081874213,0.7961053400,0.7859655486,
mpqa,adaptive-perplexity,0.07873944991564102,roberta,0.8920619695,0.8898591526,0.8748561851,0.8786414834,0.8740691812,0.8892865035,0.9004695863,0.9021140894,0.8880635653,0.8865259907,
mpqa,autoencoder-is,0.42466527767671675,roberta,0.8816346721,0.8772538715,0.8547122659,0.8686013415,0.8671591336,0.8901112311,0.8902370883,0.8921959319,0.8769153099,0.8781864224,
mpqa,biois,0.34661721023958647,roberta,0.8891569240,0.8759291980,0.8873290290,0.8693016736,0.8595146162,0.8724346608,0.8940468899,0.8791827957,0.8935921780,0.8677598180,
