dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
acm,adaptive-perplexity,0.31663724413749117,roberta,1428.75,1712.67,2067.52,1713.35,2002.04,1725.00,1701.21,2005.70,1728.09,1682.35,
acm,autoencoder-is,0.29997366874298576,roberta,2154.47,1841.37,1848.22,1553.44,1847.52,2144.35,1848.44,2143.27,2142.87,1848.79,
acm,biois,0.3743155279226755,roberta,1966.85,1594.82,1578.78,1594.76,1581.50,1585.71,1591.81,1843.31,1581.37,1847.01,
acm,gmm-is,0.49997099140657636,roberta,1331.63,1752.41,1130.50,1326.41,1130.43,1331.99,1331.92,1332.01,1342.72,1543.09,
acm,no-is,0.0,roberta,2934.13,2933.03,2522.15,2513.46,2941.40,2519.54,2952.67,2518.49,2519.81,2520.63,
acm,perplexity-is,0.29994689756960075,roberta,2079.44,1772.22,1772.34,1770.75,1781.32,1771.28,1771.47,1771.36,1771.01,1783.29,
acm,random-is,0.499997768156015,roberta,1266.89,1266.43,1464.71,1266.96,1254.82,1477.74,1266.99,1255.19,1266.74,1255.58,
books,adaptive-perplexity,0.38595552901359803,roberta,1993.65,2010.17,2038.87,2110.57,2148.84,1932.04,1977.05,2214.95,1851.40,2136.86,
books,autoencoder-is,0.23998663793230288,roberta,1977.02,1287.96,1287.75,1287.33,1287.72,1287.81,1287.59,1288.38,1287.95,1287.66,
books,biois,0.3489280483405229,roberta,880.70,1053.38,880.74,1230.50,1054.11,879.91,1054.81,1052.52,1055.85,1230.21,
books,gmm-is,0.2399899453574724,roberta,2712.27,2712.25,2273.98,2712.72,3150.04,3140.31,2701.75,2701.38,3139.17,3133.01,
books,no-is,0.0,roberta,3411.36,3408.90,3400.35,3408.55,3410.53,3392.15,3405.30,3398.22,3404.65,3396.67,
books,perplexity-is,0.2399899453574724,roberta,2648.78,2648.97,2210.54,2649.26,3086.50,2648.81,2637.33,2637.34,2636.96,2636.95,
