dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
20ng,adaptive-cluster-is,0.40309016628485994,roberta,0.7241490604,0.7203096560,0.7252366405,0.7005847160,0.7509917383,0.7090534752,0.7393484144,0.7523138454,0.7070236632,0.7198618829,
20ng,adaptive-perplexity,0.35757104648370813,roberta,0.6991302073,0.7399283190,0.7202602510,0.7211077137,0.7389609848,0.7012733330,0.7382004901,0.7607667257,0.7188597715,0.7182376290,
20ng,autoencoder-is,0.24995577986228623,roberta,0.7441957756,0.7622016091,0.7374517906,0.7131691817,0.7399664775,0.7119198593,0.7327724567,0.7593716610,0.7038577929,0.7182662033,
20ng,biois,0.39107037981563786,roberta,0.7276311812,0.7553038271,0.7236873845,0.7115108341,0.7327458569,0.7259495910,0.7436888582,0.7631843252,0.7112814561,0.7301349225,
20ng,entropy-sublinear-ae-is,0.22468768222588711,roberta,0.7276501307,0.7524823504,0.7375544739,0.7130763366,0.7274601059,0.7045855976,0.7549811111,0.7498033998,0.7200940551,0.7206406522,
20ng,gmm-is,0.299951656431839,roberta,0.7145789435,0.7377796114,0.7400328210,0.7080278313,0.7368437083,0.7084923164,0.7455337454,0.7777963634,0.7097861191,0.7188886616,
20ng,no-is,0.0,roberta,0.7570451139,0.7454612811,0.7447698787,0.7158179893,0.7641197213,0.7354454409,0.7444860573,0.7794729317,0.7268819388,0.7484475292,
20ng,sublinear-ae-is,0.249979367897558,roberta,0.7424153220,0.7372087332,0.7490856992,0.6922640102,0.7315814416,0.7250292566,0.7523972141,0.7460483424,0.7145343431,0.7263447809,
acm,adaptive-cluster-is,0.399276777462931,roberta,0.6626451980,0.6749938614,0.6641984627,0.6487139601,0.6379860837,0.6518478577,0.6908738206,0.6448576752,0.6695985598,0.7136182303,
acm,adaptive-perplexity,0.38016162992447516,roberta,0.6794457370,0.6972474819,0.6567741345,0.6642928748,0.6266239019,0.6552761305,0.6918978423,0.6669090951,0.6567239995,0.6742261000,
acm,autoencoder-is,0.2999647443549308,roberta,0.6666725195,0.6777806805,0.6634378041,0.6320635498,0.6781646865,0.6528666557,0.6972022526,0.6313088211,0.6956115858,0.7013830926,
acm,biois,0.3627299767991165,roberta,0.6918905306,0.6943337181,0.6515366914,0.6317723767,0.6662264863,0.6826506232,0.6645918496,0.6634023933,0.6755826755,0.6977616998,
acm,entropy-sublinear-ae-is,0.19215895186864532,roberta,0.6668139435,0.6792780238,0.6547985879,0.6864357505,0.6447690579,0.6923957253,0.6924012325,0.6550244628,0.7000536044,0.7012687810,
acm,gmm-is,0.2999602820613119,roberta,0.6627609323,0.6695438014,0.6686796881,0.6442426479,0.6709308525,0.6497732763,0.6824313507,0.6746435782,0.6634873717,0.6526640198,
acm,no-is,0.0,roberta,0.7075604009,0.6878855615,0.6731542934,0.6850993707,0.6883957617,0.6608662430,0.7021395937,0.6739016161,0.6870316254,0.7131924851,
acm,sublinear-ae-is,0.3499930798300666,roberta,0.6704776737,0.6808415783,0.6639344558,0.6499227833,0.6490040923,0.6608605644,0.6929698829,0.6470432995,0.6303013028,0.6313251584,
books,adaptive-cluster-is,0.4007032776775964,roberta,0.8376699288,0.8365744668,0.8472532972,0.8304124303,0.8267827091,0.8514894708,0.8330333413,0.8399390729,0.8419771182,0.8478201422,
books,adaptive-perplexity,0.3954806605823127,roberta,0.8402152266,0.8303777170,0.8470303419,0.8334104077,0.8247651799,0.8500643599,0.8261473742,0.8303839988,0.8375324714,0.8379631891,
books,autoencoder-is,0.24997850151760975,roberta,0.8438148561,0.8468628793,0.8634414312,0.8428990351,0.8414290502,0.8530730978,0.8329852183,0.8546162941,0.8450142447,0.8503041565,
books,biois,0.36014698394800476,roberta,0.8316141741,0.8322475764,0.8496432602,0.8340257725,0.8344546099,0.8500496137,0.8302728662,0.8405651379,0.8456038601,0.8452992384,
books,entropy-sublinear-ae-is,0.1863163333933142,roberta,0.8488482373,0.8535380310,0.8514794129,0.8511231834,0.8497338090,0.8664644967,0.8445515008,0.8492244915,0.8547779546,0.8603778778,
books,gmm-is,0.2999874316968405,roberta,0.8507043632,0.8529715731,0.8409999424,0.8205664790,0.8342325573,0.8620439649,0.8407410434,0.8532832206,0.8448941987,0.8450341489,
books,no-is,0.0,roberta,0.8639822208,0.8562809339,0.8708262336,0.8559730075,0.8565105782,0.8660313680,0.8530520535,0.8674388985,0.8661726994,0.8640482687,
books,sublinear-ae-is,0.2499983465062037,roberta,0.8501427049,0.8494579908,0.8628975802,0.8417312964,0.8419745781,0.8788555343,0.8325107093,0.8564625403,0.8460804612,0.8532746716,
dblp,adaptive-cluster-is,0.40834386213980556,roberta,0.8090110747,0.7917773414,0.7892694697,0.7956084136,0.7881343960,0.7712061033,0.7888873121,0.8047649627,0.7961890211,0.7805050844,
dblp,adaptive-perplexity,0.4041707428436757,roberta,0.8166259607,0.7994582059,0.7938114299,0.7825293522,0.7985728301,0.7795441604,0.8013032468,0.7923946352,0.7959539378,0.7888461577,
dblp,autoencoder-is,0.24997668675005638,roberta,0.8069960506,0.7958023795,0.7934778268,0.8019128247,0.8024023467,0.7954153748,0.8037610995,0.8119415832,0.8132329443,0.8044646458,
dblp,biois,0.3403418921402079,roberta,0.8126313334,0.8038734294,0.7927820577,0.7801976434,0.7806678544,0.7856680691,0.7935076918,0.8146709519,0.7934435621,0.7889033921,
dblp,entropy-sublinear-ae-is,0.16870948874222738,roberta,0.8166087797,0.8150166947,0.8123592295,0.7836782059,0.8125614225,0.7878497483,0.7804274913,0.8200263996,0.8036418577,0.8011291241,
dblp,gmm-is,0.29998368074202386,roberta,0.8127666078,0.8034553361,0.7920529218,0.7912455540,0.7952753200,0.7812689135,0.7982379013,0.8074032585,0.7884310269,0.7985446940,
dblp,no-is,0.0,roberta,0.8083758844,0.8226861146,0.7952446217,0.7843853573,0.7899820500,0.7828598010,0.8112368542,0.8276100188,0.8031875426,0.8055837408,
dblp,sublinear-ae-is,0.24998834337502818,roberta,0.7903753473,0.8088977154,0.8002172881,0.8032447505,0.7957950895,0.7738286070,0.7932391865,0.7878641717,0.8115166424,0.7963209538,
movie_review,adaptive-cluster-is,0.42021510287094177,roberta,0.8872974629,0.8496473688,0.8834208224,0.8626327459,0.8658270921,0.8864386918,0.8789688669,0.8752159636,0.8705326969,0.8344066646,
movie_review,adaptive-perplexity,0.3620855050556283,roberta,0.8750546979,0.8650325718,0.8357531214,0.8742959928,0.8835850971,0.8826639381,0.8732645540,0.8742924528,0.8393722435,0.8742216117,
movie_review,autoencoder-is,0.24990099878770922,roberta,0.8875350465,0.8771827159,0.8798737886,0.8798826715,0.8930039268,0.8844908649,0.8844762099,0.8873404165,0.8771105860,0.8714820633,
movie_review,biois,0.3440046617044057,roberta,0.8883153940,0.8504117242,0.8798978963,0.8873816768,0.8704670330,0.8947709838,0.8818011257,0.8637759711,0.8590682818,0.8626870412,
