dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
20ng,adaptive-cluster-is,0.40309016628485994,roberta,648.33,642.90,561.23,646.90,563.64,637.28,647.91,622.78,649.15,629.47,
20ng,adaptive-perplexity,0.35757104648370813,roberta,678.83,776.82,776.53,586.06,685.79,777.34,682.72,679.78,582.96,688.99,
20ng,autoencoder-is,0.24995577986228623,modernbert,877.23,876.39,875.71,878.20,876.05,876.02,877.09,877.08,877.27,879.27,
20ng,autoencoder-is,0.24995577986228623,roberta,755.75,647.91,860.70,859.68,859.52,754.22,860.88,650.86,754.52,754.42,
20ng,biois,0.39107037981563786,modernbert,717.38,716.26,716.57,717.48,715.95,719.01,716.35,714.41,720.03,718.37,
20ng,biois,0.39107037981563786,roberta,654.75,652.62,747.87,655.34,656.01,654.91,655.65,653.68,748.11,655.90,
20ng,entropy-sublinear-ae-is,0.22468768222588711,modernbert,751.66,905.31,884.78,913.83,906.44,916.76,766.41,916.63,894.15,910.44,
20ng,entropy-sublinear-ae-is,0.22468768222588711,roberta,784.87,775.42,871.74,786.39,780.14,678.51,901.34,788.10,659.57,784.13,
20ng,gmm-is,0.299951656431839,roberta,743.50,848.40,741.12,742.99,744.80,846.61,742.65,744.64,743.18,743.44,
20ng,no-is,0.0,modernbert,1153.96,1153.13,1153.17,959.96,1153.31,962.01,1155.94,1154.22,1153.87,1154.25,
20ng,no-is,0.0,roberta,1053.91,1051.44,1051.88,1051.41,1051.85,900.53,1203.36,1052.35,1052.06,1053.83,
20ng,sublinear-ae-is,0.249979367897558,modernbert,876.09,876.11,876.36,876.57,875.63,735.32,878.86,875.71,875.91,876.94,
20ng,sublinear-ae-is,0.249979367897558,roberta,757.97,966.29,754.52,753.99,859.38,755.12,754.69,754.79,861.42,860.83,
acm,adaptive-cluster-is,0.399276777462931,roberta,735.17,722.59,731.08,708.86,850.99,719.36,740.75,749.02,740.08,739.93,
acm,adaptive-perplexity,0.38016162992447516,roberta,874.70,860.83,743.82,749.35,743.37,741.52,740.42,747.88,864.65,741.72,
acm,autoencoder-is,0.2999647443549308,modernbert,903.94,1079.68,1078.80,903.46,1080.39,901.34,901.32,1078.89,902.67,1079.07,
acm,autoencoder-is,0.2999647443549308,roberta,846.17,844.74,846.51,984.53,846.30,848.66,847.66,707.86,983.49,984.19,
acm,biois,0.3627299767991165,modernbert,829.80,988.85,826.92,828.03,827.55,827.91,987.50,826.27,826.95,990.05,
acm,biois,0.3627299767991165,roberta,777.81,776.61,777.52,777.21,778.28,777.06,776.07,902.53,776.38,776.88,
acm,entropy-sublinear-ae-is,0.19215895186864532,modernbert,1047.40,1044.67,1063.16,1258.59,1068.29,1237.14,1021.03,1212.92,1039.47,1193.42,
acm,entropy-sublinear-ae-is,0.19215895186864532,roberta,774.60,921.44,1092.87,929.56,944.41,914.09,902.09,894.83,918.71,1026.16,
acm,gmm-is,0.2999602820613119,roberta,846.68,845.46,983.25,706.73,847.69,845.84,845.16,845.18,845.34,845.27,
acm,no-is,0.0,modernbert,1264.90,1264.79,1264.69,1264.90,1517.76,1517.99,1519.31,1267.11,1266.31,1267.84,
acm,no-is,0.0,roberta,1186.22,1382.83,1384.95,1382.98,1185.67,1187.18,1186.32,1185.75,1185.66,1186.97,
acm,sublinear-ae-is,0.3499930798300666,modernbert,837.67,837.36,839.37,1002.72,837.23,1001.94,1001.76,1001.33,837.47,1002.34,
acm,sublinear-ae-is,0.3499930798300666,roberta,862.33,740.80,740.49,861.15,861.42,740.65,740.80,861.78,740.86,863.42,
books,adaptive-cluster-is,0.4007032776775964,roberta,1134.03,817.84,976.32,993.26,1005.41,984.10,995.77,1002.52,1017.05,1013.18,
books,adaptive-perplexity,0.3954806605823127,roberta,985.52,985.27,992.47,985.69,984.42,824.50,981.86,983.67,981.64,974.93,
books,autoencoder-is,0.24997850151760975,modernbert,1578.10,1569.91,1316.08,1574.85,1568.69,1308.91,1568.39,1311.70,1310.50,1569.12,
books,autoencoder-is,0.24997850151760975,roberta,1160.05,1348.31,1158.90,1160.11,967.84,968.29,1346.03,1156.93,1156.85,1158.96,
books,biois,0.36014698394800476,modernbert,1346.37,1122.93,1124.91,1123.90,1124.76,1125.20,1126.56,1124.47,1346.55,1123.79,
books,biois,0.36014698394800476,roberta,888.04,884.47,1224.18,1057.36,1054.37,1055.54,1054.89,882.99,1054.29,886.56,
books,entropy-sublinear-ae-is,0.1863163333933142,modernbert,1451.98,1414.84,1426.34,1675.16,1694.48,1726.25,1425.24,1389.84,1420.91,1716.25,
books,entropy-sublinear-ae-is,0.1863163333933142,roberta,1489.70,1246.48,1257.46,1234.64,1246.37,1274.59,1258.60,1224.02,1257.09,1265.41,
books,gmm-is,0.2999874316968405,roberta,1133.39,1139.63,1136.26,951.39,1136.77,1137.38,1139.96,1138.93,1139.35,1137.02,
books,no-is,0.0,modernbert,1723.93,2063.43,1722.45,2062.81,2060.72,2062.62,1721.99,2063.08,2062.07,1717.25,
books,no-is,0.0,roberta,1612.14,1611.61,1610.49,1610.48,1612.79,1611.37,1612.43,1611.63,1611.65,1613.61,
books,sublinear-ae-is,0.2499983465062037,modernbert,1313.43,1308.65,1308.45,1310.15,1308.31,1566.22,1311.22,1310.83,1309.12,1309.15,
books,sublinear-ae-is,0.2499983465062037,roberta,1346.70,1158.63,1344.96,969.31,1157.84,1345.34,1158.99,1345.05,969.97,1159.31,
dblp,adaptive-cluster-is,0.40834386213980556,roberta,1270.06,1138.99,1138.16,1090.38,961.62,1126.29,1139.15,1302.21,1336.22,1123.75,
dblp,adaptive-perplexity,0.4041707428436757,roberta,1097.68,1108.78,1276.25,1103.77,1103.28,1090.96,1108.64,1088.81,1097.53,1096.54,
dblp,autoencoder-is,0.24997668675005638,modernbert,1492.58,1779.32,1780.84,1491.31,1782.36,1488.79,1778.98,1488.49,1486.01,1776.36,
dblp,autoencoder-is,0.24997668675005638,roberta,1317.62,1317.15,1317.04,1530.64,1316.49,1319.58,1316.85,1318.01,1315.75,1532.10,
dblp,biois,0.3403418921402079,modernbert,1315.58,1568.34,1315.60,1310.64,1567.71,1314.38,1565.30,1313.83,1571.01,1568.09,
dblp,biois,0.3403418921402079,roberta,1228.65,1225.81,1225.19,1226.41,1226.29,1228.41,1225.90,1228.63,1228.97,1227.21,
