dataset,method,time_mean,time_error,time_n,reduction_mean,reduction_error,reduction_n
20ng,cnn-is,604.1902325630188,51.85814103184601,10,0.5209944161332665,0.00233817399529217,10
20ng,e2sc-is,0.9883927583694458,0.14900659996441046,10,0.4999941034255815,8.892652347034046e-06,10
20ng,entropy-sublinear-ae-is,11.78446867465973,0.6855820533581671,10,0.21826036512467462,0.012632183087641032,10
20ng,lsbo-is,437.69996082782745,1.1709278592205667,10,0.8046151566308737,0.0009316301564078815,10
20ng,lssm-is,266.89814989566804,0.775378627205049,10,0.18792678893613796,0.0015490185144740182,10
acm,cnn-is,1245.3981910705565,150.84777552195882,10,0.5745493323973732,0.0023222232525882953,10
acm,e2sc-is,1.8277070760726928,0.5554294741459638,10,0.2499810326130178,9.254605123397772e-06,10
acm,entropy-sublinear-ae-is,14.52205424308777,0.4879762483531016,10,0.1891916445273493,0.009995603720335526,10
acm,lsbo-is,765.2681670427322,1.9729417350254101,10,0.8161715495602353,0.0007986932348922791,10
acm,lssm-is,455.356373667717,1.0262404806413286,10,0.15640439059562292,0.00047076645698776226,10
agnews,autoencoder-is,76.58526406288146,2.639822112815732,5,0.24998911529083942,0.0,5
agnews,biois,45.69856748580933,2.576677526929326,5,0.2927769070010449,0.00011388069070909956,5
agnews,entropy-sublinear-ae-is,102.03797059059143,40.397157947134076,5,0.20878178335074887,0.015113890042785426,5
agnews,no-is,0.194691801071167,0.06520432169470096,5,0.0,0.0,5
agnews,sublinear-ae-is,75.11749839782715,8.279571663224184,5,0.2499978230581679,6.044159494078869e-06,5
books,cnn-is,1605.4127764225007,104.27109894554663,10,0.6340583365957427,0.0023240351422077004,10
books,e2sc-is,2.0754170179367066,0.5755747858965622,10,0.24997850151760975,3.0542771717126923e-06,10
books,entropy-sublinear-ae-is,20.48211760520935,1.32014031117536,10,0.18082931066133529,0.004520295710729989,10
books,lsbo-is,1448.441706109047,6.141394452880088,10,0.7890595456754771,0.0006929219641188907,10
books,lssm-is,829.4925102710724,2.306245019122128,10,0.13021173647161752,0.0006988852234654611,10
